"t","z","v","a"
4.560000000E0,2.102200799E-1,-8.692364396E-4,-2.863761701E-2
4.580000000E0,2.103433868E-1,-1.361560939E-3,-6.217952342E-2
4.600000000E0,2.103610091E-1,-2.954887775E-3,-7.440158584E-2
4.620000000E0,2.102151160E-1,-5.019644038E-3,-5.739240486E-2
4.640000000E0,2.099384478E-1,-6.415154021E-3,-1.894155312E-2
4.660000000E0,2.096473825E-1,-6.448269074E-3,1.951397699E-2
4.680000000E0,2.094162913E-1,-5.358982601E-3,4.689092980E-2
4.700000000E0,2.092662543E-1,-3.794040242E-3,6.165819859E-2
4.720000000E0,2.092028595E-1,-2.155752535E-3,6.302555653E-2
4.740000000E0,2.092324782E-1,-6.769825460E-4,4.909273783E-2
4.760000000E0,2.093257490E-1,4.591253980E-4,2.543788879E-2
4.780000000E0,2.094391722E-1,1.144505142E-3,7.150172382E-4
4.800000000E0,2.095264259E-1,1.395717369E-3,-1.555737953E-2
