"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.694283333E0,-1.491057277E-1,3.647433817E-1,-3.321812749E-1,5.153781640E-1
1.704268333E0,-1.594417244E-1,2.968586087E-1,-9.412294626E-1,9.997297627E-1
1.714253333E0,-1.454368830E-1,1.861347556E-1,-1.529730320E0,1.547860745E0
1.724239333E0,-9.281041473E-2,5.332238600E-2,-2.088160038E0,2.090901574E0
1.734224333E0,-1.131170336E-2,-1.175260693E-1,-2.615185738E0,2.617849647E0
1.744209333E0,1.006710231E-1,-2.534032166E-1,-3.096501112E0,3.108483068E0
1.754194333E0,2.364829183E-1,-3.727319539E-1,-3.536534548E0,3.563976696E0
1.764180333E0,3.788264692E-1,-4.496038556E-1,-3.923702002E0,3.967504319E0
1.774165333E0,5.130572319E-1,-4.408005178E-1,-4.258992195E0,4.312371429E0
1.784150333E0,6.202340126E-1,-4.004749358E-1,-4.538764477E0,4.598418574E0
1.794135333E0,6.929960251E-1,-3.092449009E-1,-4.764364243E0,4.824421472E0
1.804121333E0,7.149636149E-1,-1.672912240E-1,-4.927713871E0,4.982120364E0
1.814106333E0,6.846006513E-1,-3.882965073E-2,-5.036775589E0,5.083236580E0
1.824091333E0,6.109666228E-1,8.169809729E-2,-5.077156544E0,5.114437737E0
1.834076333E0,5.023555160E-1,1.823698133E-1,-5.053301334E0,5.081483463E0
1.844062333E0,3.740454614E-1,2.142052352E-1,-4.961015224E0,4.979705408E0
1.854047333E0,2.418800890E-1,2.083700001E-1,-4.800460815E0,4.811065171E0
1.864032333E0,1.268048882E-1,1.551043838E-1,-4.569640160E0,4.574029737E0
1.874017333E0,4.527040944E-2,4.594834521E-2,-4.267263889E0,4.267751371E0
1.884003333E0,4.220712930E-3,-6.125400588E-2,-3.904556751E0,3.905039474E0
1.893988333E0,3.507845104E-3,-1.836635619E-1,-3.478705645E0,3.483552435E0
1.903973333E0,4.875841364E-2,-2.849119008E-1,-3.000387669E0,3.014279074E0
1.913958333E0,1.162330583E-1,-3.369410038E-1,-2.476718903E0,2.502234179E0
1.923944208E0,2.010795027E-1,-3.671580255E-1,-1.918779135E0,1.963912256E0
1.933929208E0,2.850419879E-1,-3.397261202E-1,-1.334298611E0,1.406063851E0
1.943914208E0,3.431518972E-1,-2.634792626E-1,-7.404768467E-1,8.576016015E-1
1.953899208E0,3.783102930E-1,-1.726713628E-1,-1.374908388E-1,4.379929315E-1
1.963885208E0,3.741016984E-1,-4.707109183E-2,4.598415494E-1,5.946612641E-1
1.973870208E0,3.282683492E-1,7.796434313E-2,1.042191386E0,1.095445769E0
1.983855208E0,2.477663010E-1,1.831088662E-1,1.606709361E0,1.635980430E0
1.993840208E0,1.247691587E-1,2.760987282E-1,2.138907194E0,2.160259669E0
2.003826208E0,-1.347234659E-2,3.353497982E-1,2.644930601E0,2.666139320E0
2.013811208E0,-1.529577672E-1,3.494658768E-1,3.108434677E0,3.131754879E0
2.023796208E0,-3.069521189E-1,3.404058218E-1,3.527067423E0,3.556726069E0
2.033781208E0,-4.358289242E-1,2.949051559E-1,3.898695707E0,3.934049329E0
2.043767208E0,-5.447974801E-1,2.148507684E-1,4.222354412E0,4.262773971E0
2.053752208E0,-6.200932264E-1,1.287616938E-1,4.492131233E0,4.536555764E0
2.063737208E0,-6.560450792E-1,2.974590473E-2,4.702178478E0,4.747816594E0
2.073723208E0,-6.545660496E-1,-6.879262626E-2,4.857851028E0,4.902234771E0
2.083708208E0,-6.145555377E-1,-1.501298249E-1,4.952584743E0,4.992826165E0
2.093693208E0,-5.378812551E-1,-2.223675400E-1,4.980834484E0,5.014725887E0
2.103678208E0,-4.399126470E-1,-2.577082217E-1,4.946789742E0,4.972993607E0
2.113664208E0,-3.200225234E-1,-2.700996697E-1,4.847689629E0,4.865743826E0
2.123649208E0,-2.013150603E-1,-2.544628978E-1,4.681575298E0,4.692805812E0
2.133634208E0,-8.725246042E-2,-2.046851963E-1,4.447256088E0,4.452818853E0
2.143619208E0,1.136865746E-2,-1.396300346E-1,4.149975300E0,4.152339194E0
2.153605208E0,8.296786994E-2,-5.126340687E-2,3.789168835E0,3.790423731E0
2.163590208E0,1.239200905E-1,3.827260435E-2,3.375828743E0,3.378319210E0
2.173575208E0,1.299273223E-1,1.289992630E-1,2.908894539E0,2.914650812E0
2.183560208E0,1.065200046E-1,2.083345652E-1,2.394360542E0,2.405766449E0
2.193546208E0,5.513488501E-2,2.647733390E-1,1.843265057E0,1.863000495E0
2.203531208E0,-1.178396400E-2,2.872059345E-1,1.265457392E0,1.297693539E0
2.213516208E0,-9.656479955E-2,2.730163932E-1,6.695011258E-1,7.294480577E-1
2.223501208E0,-1.609017104E-1,2.300417423E-1,6.671993434E-2,2.885482858E-1
2.233487208E0,-2.164957821E-1,1.516936719E-1,-5.332058668E-1,5.951385471E-1
2.243472208E0,-2.366852164E-1,5.276522785E-2,-1.122659206E0,1.148550284E0
2.253457208E0,-2.173454314E-1,-5.952776596E-2,-1.681910038E0,1.696939589E0
2.263442208E0,-1.586661339E-1,-1.623968929E-1,-2.216605186E0,2.228202470E0
2.273428208E0,-5.656389147E-2,-2.416145056E-1,-2.713541985E0,2.724864610E0
2.283413208E0,7.274669409E-2,-2.894523144E-1,-3.164312363E0,3.178356093E0
2.293398208E0,2.209496647E-1,-2.899963856E-1,-3.573266506E0,3.591817114E0
2.303383208E0,3.701649904E-1,-2.489562929E-1,-3.930893660E0,3.956125165E0
2.313369208E0,4.999610484E-1,-1.679426581E-1,-4.235028267E0,4.267742988E0
2.323354208E0,5.942763686E-1,-6.081247702E-2,-4.490624905E0,4.530184830E0
2.333339208E0,6.464677453E-1,5.714530125E-2,-4.684667110E0,4.729407158E0
2.343324208E0,6.493157744E-1,1.691165715E-1,-4.822122097E0,4.868580174E0
2.353310208E0,6.032800078E-1,2.501693666E-1,-4.902052879E0,4.945366914E0
2.363295208E0,5.195605755E-1,2.865872979E-1,-4.914607048E0,4.950296749E0
2.373280208E0,4.055720568E-1,2.704682350E-1,-4.865467548E0,4.889827832E0
2.383265208E0,2.811236084E-1,2.079369426E-1,-4.749427319E0,4.762281818E0
2.393251208E0,1.616827697E-1,9.547781944E-2,-4.566216946E0,4.570075987E0
2.403236208E0,6.482067704E-2,-3.587940708E-2,-4.317760944E0,4.318396534E0
2.413221208E0,-5.491632037E-3,-1.716876179E-1,-4.003474712E0,4.007158166E0
2.423206208E0,-4.053377360E-2,-2.958060801E-1,-3.632793665E0,3.645042391E0
2.433192208E0,-4.228435084E-2,-3.705501258E-1,-3.205636978E0,3.227259487E0
2.443177208E0,-1.203483529E-2,-4.043395221E-1,-2.730270386E0,2.760074576E0
2.453162208E0,2.883122861E-2,-3.840014637E-1,-2.217852116E0,2.251034511E0
2.463147208E0,7.557450235E-2,-3.021665215E-1,-1.678504467E0,1.707159441E0
2.473133208E0,1.262347847E-1,-1.875451207E-1,-1.116540909E0,1.139197961E0
2.483118208E0,1.515350789E-1,-4.826526344E-2,-5.423646569E-1,5.652007049E-1
2.493103208E0,1.568843424E-1,1.040222496E-1,3.848952800E-2,1.921321656E-1
2.503088208E0,1.422417611E-1,2.379912287E-1,6.132916212E-1,6.730521200E-1
2.513074208E0,9.557659924E-2,3.493233621E-1,1.171759009E0,1.226450518E0
2.523059208E0,2.409203164E-2,4.188265204E-1,1.715612650E0,1.766160481E0
2.533044208E0,-6.388933957E-2,4.325551391E-1,2.230015516E0,2.272477722E0
2.543029208E0,-1.757410467E-1,4.059392512E-1,2.711061478E0,2.746912071E0
2.553015208E0,-2.915974259E-1,3.352283537E-1,3.151862144E0,3.183024047E0
2.563000208E0,-4.068350792E-1,2.258589864E-1,3.549952507E0,3.580319799E0
2.572985208E0,-5.172017217E-1,1.151188314E-1,3.895566940E0,3.931436347E0
2.582970208E0,-6.047803164E-1,-2.714324743E-3,4.190565109E0,4.233981877E0
2.592956208E0,-6.694468856E-1,-1.051951274E-1,4.437212944E0,4.488661700E0
2.602941208E0,-6.977102160E-1,-1.679517180E-1,4.624802589E0,4.680150245E0
2.612926208E0,-6.946632862E-1,-2.066969872E-1,4.748963356E0,4.803949800E0
2.622911208E0,-6.534261107E-1,-1.974403709E-1,4.816679001E0,4.864806777E0
2.632897208E0,-5.719814897E-1,-1.592820585E-1,4.821206093E0,4.857629235E0
2.642882208E0,-4.653432369E-1,-1.058534533E-1,4.762256622E0,4.786108797E0
2.652867208E0,-3.414352238E-1,-2.839622460E-2,4.640328407E0,4.652959497E0
2.662852208E0,-2.116881609E-1,5.302166939E-2,4.455990314E0,4.461330839E0
2.672838208E0,-9.654625505E-2,1.282221675E-1,4.209228992E0,4.212288074E0
2.682823208E0,5.777452607E-3,1.928325891E-1,3.898573399E0,3.903343737E0
2.692808208E0,7.256022841E-2,2.392858118E-1,3.531283379E0,3.540124996E0
2.702793208E0,9.354034811E-2,2.640878260E-1,3.110745668E0,3.123336484E0
2.712779208E0,8.178216219E-2,2.629775703E-1,2.638324022E0,2.652658887E0
2.722764208E0,3.714518994E-2,2.412246019E-1,2.127511024E0,2.141464974E0
2.732749208E0,-3.900511935E-2,2.000188082E-1,1.580909729E0,1.593990117E0
2.742734208E0,-1.194853187E-1,1.398795694E-1,1.014593601E0,1.031136854E0
2.752720208E0,-2.059676051E-1,6.560245901E-2,4.296380281E-1,4.809523596E-1
2.762705208E0,-2.721066773E-1,-1.337430440E-3,-1.549367756E-1,3.131281478E-1
2.772690208E0,-3.044790924E-1,-6.704508513E-2,-7.290220857E-1,7.928907633E-1
2.782675208E0,-3.038361967E-1,-1.255518049E-1,-1.289698243E0,1.330939987E0
2.792660208E0,-2.526669204E-1,-1.574564874E-1,-1.824332595E0,1.848464913E0
2.802646208E0,-1.620331854E-1,-1.671152413E-1,-2.327874899E0,2.339483661E0
2.812631208E0,-3.749107197E-2,-1.535136998E-1,-2.792531729E0,2.796999373E0
2.822616208E0,1.120598018E-1,-1.116115153E-1,-3.215332747E0,3.219220278E0
2.832602208E0,2.656705678E-1,-5.173325166E-2,-3.591443539E0,3.601627947E0
2.842587208E0,4.061475098E-1,2.507657558E-2,-3.918602943E0,3.939674309E0
2.852572208E0,5.261953473E-1,1.062324196E-1,-4.192985058E0,4.227208366E0
2.862557208E0,6.068643928E-1,1.730300933E-1,-4.419160366E0,4.463989488E0
2.872542208E0,6.432632804E-1,2.218002826E-1,-4.583944321E0,4.634169672E0
2.882528208E0,6.338915825E-1,2.364841551E-1,-4.692675591E0,4.741196842E0
2.892513208E0,5.822258592E-1,2.081278414E-1,-4.742490768E0,4.782627190E0
2.902498208E0,5.042971969E-1,1.433339417E-1,-4.733873844E0,4.762816588E0
2.912483208E0,4.064328074E-1,4.245929793E-2,-4.660901546E0,4.678781214E0
2.922469417E0,2.973132432E-1,-8.319396526E-2,-4.520327091E0,4.530857911E0
2.932454417E0,2.031890452E-1,-2.026343644E-1,-4.321915627E0,4.331431768E0
2.942439417E0,1.204957590E-1,-3.200523257E-1,-4.060051918E0,4.074429322E0
2.952424417E0,5.779490992E-2,-4.040513039E-1,-3.739700317E0,3.761908581E0
2.962410417E0,2.406650595E-2,-4.302120805E-1,-3.364884853E0,3.392360787E0
2.972395417E0,1.010574400E-2,-4.183304012E-1,-2.944703817E0,2.974286977E0
2.982380417E0,1.912400685E-2,-3.534637988E-1,-2.480386257E0,2.505517585E0
2.992365417E0,3.653702140E-2,-2.370495796E-1,-1.980898619E0,1.995366331E0
3.002351417E0,7.000736892E-2,-1.036979109E-1,-1.449575424E0,1.454965016E0
3.012336417E0,1.027474701E-1,4.455810413E-2,-9.027938247E-1,9.097137776E-1
3.022321417E0,1.272030026E-1,1.856143028E-1,-3.395506442E-1,4.073425011E-1
3.032306417E0,1.399689615E-1,2.939778268E-1,2.191458195E-1,3.924782326E-1
3.042292417E0,1.404866725E-1,3.705692887E-1,7.799689174E-1,8.748769142E-1
3.052277417E0,1.235716268E-1,3.958365321E-1,1.322843671E0,1.386315940E0
3.062262417E0,8.030538261E-2,3.623270392E-1,1.847041368E0,1.883956383E0
3.072247417E0,1.813642494E-2,2.902248800E-1,2.342106104E0,2.360089069E0
3.082233417E0,-6.554302573E-2,1.726508588E-1,2.799814701E0,2.805898531E0
