"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.892028834E0,-5.837860107E-3,1.263372803E-1,1.055395294E1,1.055471070E1
2.902064834E0,1.556762695E-2,5.478607178E-2,1.011431717E1,1.011447753E1
2.912100834E0,1.317260742E-2,-2.245330811E-2,9.840386810E0,9.840421243E0
2.922137834E0,-2.095642090E-3,-4.805007935E-2,9.109606476E0,9.109733440E0
2.932173833E0,4.415817261E-2,-9.475296021E-2,8.036787415E0,8.037467264E0
2.942210834E0,3.188369751E-2,-1.357676697E-1,7.838599548E0,7.839840069E0
2.952246834E0,7.723937988E-2,-1.592687988E-1,7.784711609E0,7.786723785E0
2.962282834E0,3.891906738E-2,-1.633103943E-1,7.626191254E0,7.628038936E0
2.972319834E0,-3.472778320E-2,-1.683998108E-1,7.145540771E0,7.147609211E0
2.982355834E0,-6.735992432E-3,-1.270857239E-1,6.592890015E0,6.594118205E0
2.992392833E0,2.380050659E-2,-1.619631958E-1,6.142925720E0,6.145106585E0
3.002428833E0,-1.347198486E-2,-1.522334290E-1,6.128555603E0,6.130460855E0
3.012464833E0,8.981323242E-4,-1.362167358E-1,5.908513184E0,5.910083235E0
3.022501834E0,6.526428223E-2,-1.175056458E-1,5.560037842E0,5.561662324E0
3.032537834E0,6.795867920E-2,-1.413061523E-1,5.429658966E0,5.431922523E0
3.042574834E0,2.484832764E-2,-1.660047913E-1,5.098098450E0,5.100860989E0
3.052610834E0,3.817062378E-2,-2.106120300E-1,5.172044678E0,5.176471827E0
3.062646833E0,8.232879639E-3,-1.820214844E-1,5.821094971E0,5.823945935E0
3.072683834E0,1.107696533E-2,-1.890568542E-1,6.270161133E0,6.273020471E0
3.082719834E0,3.712280273E-2,-1.657054138E-1,5.736221466E0,5.738734451E0
3.092756834E0,-3.442840576E-2,-1.260379028E-1,6.142177277E0,6.143566763E0
3.102792834E0,-1.437011719E-2,-1.224453735E-1,6.116879883E0,6.118122169E0
3.112828834E0,4.041595459E-2,-9.295669556E-2,6.244863739E0,6.245686313E0
3.122865833E0,4.206253052E-2,-3.427871704E-2,6.717880096E0,6.718099231E0
3.132901833E0,1.227447510E-2,7.484436035E-4,7.258855133E0,7.258865549E0
3.142938834E0,6.137237549E-2,-2.395019531E-2,7.475754089E0,7.476044368E0
3.152974834E0,5.852828979E-2,-3.772155762E-2,7.556885376E0,7.557206168E0
3.163010834E0,5.987548828E-3,-1.541793823E-2,8.028105469E0,8.028122507E0
3.173047834E0,-1.272354126E-2,9.131011963E-3,9.035809937E0,9.035823508E0
