"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.593032708E0,2.348840684E-1,-5.226159468E-3,2.081316337E-2,2.358623032E-1
1.603016708E0,1.516879797E-1,1.063456293E-2,1.417416707E-2,1.527194949E-1
1.613001708E0,7.950793207E-2,1.341113821E-2,-2.630628645E-3,8.067397410E-2
1.622985708E0,-2.080671489E-3,1.669774577E-2,-1.527105551E-2,2.272331499E-2
1.632970708E0,-9.519563615E-2,1.453550626E-2,-1.367847808E-2,9.726556866E-2
1.642954708E0,-1.723926812E-1,-3.487435868E-3,-1.560295466E-3,1.724350117E-1
1.652939708E0,-2.529412210E-1,-7.331664208E-3,1.798821799E-2,2.536860078E-1
1.662923708E0,-3.366190791E-1,1.204842608E-2,2.393026277E-2,3.376836189E-1
1.672908708E0,-4.149268568E-1,2.167393826E-2,1.695056073E-2,4.158381627E-1
1.682892708E0,-4.856921136E-1,1.341387816E-2,-2.250564285E-3,4.858825233E-1
1.692877708E0,-5.611621737E-1,2.466435079E-3,-2.194764279E-2,5.615966235E-1
1.702861708E0,-6.371341348E-1,-7.102835923E-3,-2.749127895E-2,6.377665140E-1
1.712846708E0,-7.062224746E-1,-9.492739104E-3,-1.933482289E-2,7.065508694E-1
1.722830708E0,-7.666770220E-1,-4.253235646E-3,2.177659888E-3,7.666919122E-1
1.732815708E0,-8.317646980E-1,1.212381478E-2,1.633711345E-2,8.320134621E-1
1.742799708E0,-8.928927779E-1,1.585809886E-2,1.319671422E-2,8.931310908E-1
1.752784708E0,-9.462996125E-1,8.016110398E-3,-6.505039055E-4,9.463337878E-1
1.762768708E0,-9.974957108E-1,6.751073524E-4,-1.611255109E-2,9.976260638E-1
1.772753708E0,-1.043750882E0,4.340252373E-3,-2.502759546E-2,1.044059923E0
1.782737708E0,-1.081764102E0,8.758170530E-3,-1.257651858E-2,1.081872657E0
1.792723333E0,-1.120180845E0,2.022351697E-2,5.448264070E-3,1.120376633E0
1.802707333E0,-1.154158354E0,3.046603501E-2,2.330342680E-2,1.154795538E0
1.812692333E0,-1.181455851E0,2.522442490E-2,2.351493761E-2,1.181959031E0
1.822676333E0,-1.198806047E0,1.264524926E-2,9.818034247E-3,1.198912939E0
1.832661333E0,-1.214997292E0,6.061698310E-3,-1.105351374E-2,1.215062691E0
1.842645333E0,-1.225581646E0,1.117683202E-2,-2.005925775E-2,1.225796748E0
1.852630333E0,-1.229365230E0,1.745810360E-2,-1.929763518E-2,1.229640619E0
1.862614333E0,-1.228459239E0,2.086801454E-2,-5.434283987E-3,1.228648488E0
1.872599333E0,-1.221124649E0,1.708420180E-2,8.437121287E-3,1.221273296E0
1.882583333E0,-1.210078120E0,3.084230237E-3,1.738747209E-2,1.210206963E0
1.892568333E0,-1.194224238E0,-6.188865751E-3,6.252715364E-3,1.194256643E0
1.902552333E0,-1.176037788E0,-3.679901827E-3,-1.153853163E-2,1.176100148E0
1.912537333E0,-1.146423817E0,5.454438739E-3,-2.857661992E-2,1.146792894E0
1.922521333E0,-1.108878851E0,1.163323876E-2,-2.694783174E-2,1.109267246E0
1.932506333E0,-1.067804337E0,1.191499270E-2,-1.261536032E-2,1.067945324E0
1.942490333E0,-1.028777599E0,9.867021814E-3,6.147940643E-3,1.028843285E0
1.952475333E0,-9.850261807E-1,8.362694643E-4,1.810938306E-2,9.851929891E-1
1.962460333E0,-9.322993159E-1,3.090368118E-3,1.564702392E-2,9.324357319E-1
1.972444333E0,-8.786864877E-1,1.141995098E-2,3.657666733E-3,8.787683070E-1
1.982429333E0,-8.142776489E-1,2.112078294E-2,-1.450136397E-2,8.146805917E-1
1.992413333E0,-7.461156845E-1,2.016678452E-2,-1.701536216E-2,7.465821029E-1
2.002398333E0,-6.797824502E-1,1.751241088E-2,-9.823496453E-3,6.800789404E-1
2.012382333E0,-6.179335117E-1,7.851075381E-3,5.215204321E-3,6.180053905E-1
2.022367333E0,-5.477775931E-1,-1.364526805E-3,1.918801107E-2,5.481152554E-1
2.032351333E0,-4.686039686E-1,-9.581241757E-4,1.538561564E-2,4.688574566E-1
2.042336333E0,-3.915328979E-1,3.838228527E-3,6.338058040E-3,3.916030045E-1
2.052320333E0,-3.092794120E-1,8.212160319E-3,-1.169644855E-2,3.096094333E-1
2.062305333E0,-2.274170220E-1,1.889816020E-3,-2.004705742E-2,2.283067187E-1
2.072289333E0,-1.516118497E-1,-5.522533786E-3,-2.015426010E-2,1.530452402E-1
2.082274333E0,-7.257215679E-2,-1.187816821E-2,-5.882115103E-3,7.377267854E-2
2.092258333E0,1.141994633E-2,-1.476396900E-2,6.822494790E-3,1.987300656E-2
2.102243333E0,9.580060840E-2,-1.081396826E-2,1.231260132E-2,9.719207082E-2
2.112227333E0,1.791806519E-1,-3.700982779E-4,8.803878911E-3,1.793971886E-1
2.122212333E0,2.580547035E-1,4.132774193E-3,-3.081276314E-3,2.581061876E-1
2.132196333E0,3.385875523E-1,3.012599889E-3,-1.484224014E-2,3.389260958E-1
2.142181333E0,4.140625894E-1,-4.332664888E-3,-9.364649653E-3,4.141911353E-1
2.152165333E0,4.904230237E-1,-1.594643109E-4,-1.627751626E-4,4.904230766E-1
2.162150333E0,5.631625056E-1,9.638569318E-4,1.328432467E-2,5.633199890E-1
2.172134333E0,6.407086849E-1,2.147564664E-3,1.996096596E-2,6.410231440E-1
2.182119333E0,7.059944868E-1,4.780897871E-3,1.827145740E-2,7.062470662E-1
2.192103333E0,7.718635201E-1,2.262333408E-3,9.437825531E-3,7.719245329E-1
2.202088333E0,8.291846514E-1,-5.649119150E-3,-1.525610220E-3,8.292052979E-1
2.212072333E0,8.916097879E-1,-1.423085295E-2,-6.646352820E-3,8.917481175E-1
2.222057333E0,9.479058385E-1,-1.302710455E-2,-6.178169511E-3,9.480154819E-1
2.232041333E0,9.970548153E-1,-1.200334541E-2,8.163880557E-5,9.971270690E-1
2.242026333E0,1.043966174E0,-1.218523923E-2,6.134471390E-3,1.044055307E0
2.252010333E0,1.083981395E0,-1.187122613E-2,8.905878291E-3,1.084082979E0
