"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.141277958E0,-5.454161204E-3,-1.417124987E0,1.871498651E-3,1.417136718E0
1.151262958E0,-9.359936230E-3,-1.656890154E0,3.407558193E-3,1.656920095E0
1.161246958E0,-1.158687100E-2,-1.888923883E0,4.768433515E-3,1.888965439E0
1.171230958E0,-1.105183642E-2,-2.115553617E0,2.028556773E-3,2.115583458E0
1.181215958E0,-1.409955788E-2,-2.338738680E0,1.908181934E-3,2.338781959E0
1.191199958E0,-1.135013066E-2,-2.551769257E0,4.013337195E-3,2.551797655E0
1.201183958E0,-1.258477289E-2,-2.756344080E0,4.123591818E-3,2.756375894E0
1.211168958E0,-1.284844521E-2,-2.957046032E0,5.009820685E-3,2.957078189E0
1.221152958E0,-1.235575974E-2,-3.146714211E0,7.192014717E-3,3.146746687E0
1.231136958E0,-1.548894774E-2,-3.320391893E0,4.137369804E-3,3.320430597E0
1.241121958E0,-1.765782759E-2,-3.481823444E0,4.250553902E-3,3.481870814E0
1.251105958E0,-2.017530054E-2,-3.634194374E0,3.873149399E-3,3.634252439E0
1.261089958E0,-2.470853366E-2,-3.766756773E0,2.794303000E-3,3.766838848E0
1.271074958E0,-1.087927353E-2,-3.889404297E0,4.882363137E-3,3.889422577E0
1.281058958E0,-2.073802985E-2,-3.991769075E0,4.444273189E-3,3.991825418E0
1.291042958E0,-2.519856021E-2,-4.076560020E0,7.015093230E-3,4.076643936E0
1.301027958E0,-2.330425382E-2,-4.139277935E0,2.943919040E-3,4.139344583E0
1.311011958E0,-3.152783960E-2,-4.182856083E0,3.108341713E-3,4.182976055E0
1.320995958E0,-1.982165128E-2,-4.209042072E0,3.498494858E-3,4.209090199E0
1.330980958E0,-2.494955435E-2,-4.217261314E0,8.056921884E-3,4.217342811E0
1.340964958E0,-2.482012473E-2,-4.199583054E0,2.232056111E-3,4.199656991E0
1.350948958E0,-2.170793340E-2,-4.161566257E0,5.676326342E-3,4.161626746E0
1.360933958E0,-1.541088801E-2,-4.100402832E0,5.586044863E-3,4.100435597E0
1.370917958E0,-2.477060258E-2,-4.023371220E0,3.238907084E-3,4.023448775E0
1.380901958E0,-1.567351259E-2,-3.928405523E0,1.002917066E-3,3.928436918E0
1.390886958E0,-2.385686897E-2,-3.814897776E0,5.228874739E-3,3.814975954E0
1.400870958E0,-1.531131752E-2,-3.686217546E0,2.946013119E-3,3.686250523E0
1.410854958E0,-2.223072946E-2,-3.534736633E0,2.772269771E-3,3.534807627E0
1.420839958E0,-1.617496833E-2,-3.372745037E0,5.349677056E-3,3.372788065E0
1.430823958E0,-2.001925185E-2,-3.201258183E0,8.028256707E-4,3.201320878E0
1.440807958E0,-1.593662612E-2,-3.018513203E0,3.887565108E-3,3.018557775E0
1.450792958E0,-2.192660421E-2,-2.807814360E0,-2.320624515E-2,2.807995866E0
1.460776958E0,-1.520451903E-2,-2.632594109E0,7.092065644E-4,2.632638111E0
1.470760958E0,-1.657684147E-2,-2.423921585E0,6.588987540E-3,2.423987223E0
1.480745958E0,-1.205825619E-2,-2.213816881E0,9.657230694E-4,2.213849931E0
1.490729958E0,-1.059990190E-2,-1.992361426E0,9.139699396E-4,1.992389833E0
1.500713958E0,-1.082467288E-2,-1.771194100E0,2.975256648E-3,1.771229677E0
1.510698958E0,-8.042471483E-3,-1.542040825E0,4.112834111E-3,1.542067282E0
1.520682958E0,-1.154205645E-3,-1.303017020E0,7.389320992E-3,1.303038483E0
1.530666958E0,-5.826171022E-3,-1.067660928E0,1.558280084E-3,1.067677961E0
1.540651958E0,-7.419806439E-3,-8.359736204E-1,-3.996540792E-3,8.360161003E-1
1.550635958E0,-2.089777030E-3,-6.084563136E-1,1.248922199E-4,6.084599151E-1
1.560619958E0,-3.506844863E-3,-3.709875345E-1,6.703077815E-4,3.710047143E-1
1.570604958E0,-8.207703941E-4,-1.271457374E-1,1.028539846E-3,1.271525466E-1
1.580588958E0,3.385036252E-4,1.157225668E-1,-1.738218358E-3,1.157361156E-1
1.590572958E0,9.739337256E-4,3.536043763E-1,-1.242870232E-3,3.536079018E-1
1.600557958E0,2.742006443E-3,5.929919481E-1,-6.354034413E-4,5.929986281E-1
1.610541958E0,1.629599836E-3,8.293147683E-1,6.255495828E-4,8.293166053E-1
1.620525958E0,1.355560496E-3,1.067230940E0,-4.842186347E-3,1.067242786E0
1.630510958E0,1.078129746E-2,1.300859809E0,8.542899042E-3,1.300932535E0
1.640494958E0,9.832412004E-3,1.526656747E0,-1.067824196E-4,1.526688413E0
1.650479750E0,1.082069241E-2,1.751732707E0,-3.778361250E-3,1.751770202E0
1.660464750E0,6.904779933E-3,1.974503994E0,-4.264654126E-3,1.974520672E0
1.670448750E0,1.299490966E-2,2.193854809E0,1.018305775E-4,2.193893297E0
1.680432750E0,1.298665348E-2,2.403316498E0,-1.591141103E-3,2.403352112E0
1.690417750E0,9.059292264E-3,2.609274387E0,-3.022731515E-3,2.609291865E0
1.700401750E0,4.427788779E-3,2.808424473E0,-6.204676814E-3,2.808434817E0
1.710385750E0,7.066712249E-3,3.004307270E0,-1.849129423E-2,3.004372487E0
1.720370750E0,1.471611112E-2,3.171133280E0,-6.379504688E-3,3.171173843E0
1.730354750E0,1.951591857E-2,3.341762304E0,-4.296825267E-3,3.341822053E0
1.740338750E0,1.535952277E-2,3.503881931E0,-7.543218322E-3,3.503923715E0
1.750323750E0,1.016664039E-2,3.647319317E0,-1.170253381E-3,3.647333674E0
1.760307750E0,2.478153631E-2,3.780718327E0,-4.185750615E-3,3.780801861E0
1.770291750E0,1.449239533E-2,3.891346455E0,-3.682629205E-3,3.891375184E0
1.780276750E0,2.211755887E-2,3.984249592E0,-4.910879303E-3,3.984314008E0
1.790260750E0,1.951672882E-2,4.066078663E0,-8.330216631E-3,4.066134035E0
1.800244750E0,1.697926782E-2,4.121017456E0,-6.645767018E-3,4.121057793E0
1.810229750E0,1.973110996E-2,4.160247803E0,-5.158516578E-3,4.160297791E0
1.820213750E0,2.058625221E-2,4.175300121E0,-5.760390311E-3,4.175354845E0
1.830197750E0,2.044217475E-2,4.172691822E0,-6.606015377E-3,4.172747124E0
1.840182750E0,3.067244217E-2,4.140360832E0,-5.330360495E-3,4.140477875E0
1.850166750E0,1.772043109E-2,4.095592499E0,-4.140281584E-3,4.095632927E0
1.860150750E0,2.006427944E-2,4.038041115E0,-2.672346774E-3,4.038091847E0
1.870135750E0,1.784292050E-2,3.953006983E0,-6.829225458E-3,3.953053151E0
1.880119750E0,2.121368237E-2,3.853215218E0,-4.488040693E-3,3.853276226E0
1.890103750E0,1.771428250E-2,3.734248877E0,-2.831732389E-3,3.734291966E0
1.900088750E0,1.867994480E-2,3.598937511E0,-5.586772691E-3,3.598990326E0
1.910072750E0,1.864826307E-2,3.451023817E0,-3.743632464E-3,3.451076232E0
1.920056750E0,1.513715275E-2,3.289947987E0,-5.779619329E-3,3.289987886E0
1.930041750E0,1.539601944E-2,3.115834475E0,-4.006041680E-3,3.115875087E0
1.940025750E0,7.950886153E-3,2.931321859E0,-5.625243299E-3,2.931338040E0
